0.00	X
0.62	B
0.97	F
1.25	C
1.32	E
1.74	B
1.88	C
2.02	B
2.09	G
2.16	B
2.23	E
2.44	B
2.65	C
2.79	B
3.28	E
3.49	B
3.63	E
3.77	A
3.88	D
4.33	C
4.41	B
4.86	A
4.95	G
5.03	B
5.59	E
5.73	B
6.08	F
6.22	A
6.62	E
6.66	B
7.54	H
7.68	C
7.82	B
8.03	C
8.10	E
8.17	B
8.66	E
8.87	F
9.71	B
9.85	X
10.59	B
10.65	C
10.71	H
10.78	C
11.03	E
11.10	F
12.11	B
12.81	F
12.95	B
13.30	D
13.49	C
13.54	B
13.79	E
13.93	B
14.14	A
14.29	C
14.38	G
14.59	B
15.22	E
15.36	F
15.43	B
15.78	H
16.13	A
16.77	B
16.96	X
17.87	B
18.07	H
18.49	A
18.57	C
18.83	B
18.97	C
19.11	B
19.32	F
19.39	B
19.46	C
19.67	B
19.81	C
21.35	B
21.70	C
21.98	X
23.33	X
